objectid,object_location,image_small,image_thumb,display_template,title,creator,subject,identifier,Language,publisher,location,date,Edition,tags,bobcat_permalink,worldcat_permalink
is002,/objects/is002.jpg,/objects/small/is002_sm.jpg,/objects/thumbs/is002_th.jpg,item,Weaving identities: construction of dress and self in a highland Guatemala town,Carol Hendrickson,Worldwide Indigenous Studies,0-292-73099-3,eng,University of Texas Press,United States,1995,1,Other Indigenous Studies: Cakichikel Community (Guatemala),https://bobcat.library.nyu.edu/permalink/f/ci13eu/nyu_aleph005359175,https://worldcat.org/en/title/32167169
is003,/objects/is003.jpg,/objects/small/is003_sm.jpg,/objects/thumbs/is003_th.jpg,item,Construcción de la Sustentabilidad desde la Visión de los Pueblos Indígenas de Latinoamérica,"Daza van Boeck, Mariana; Roncal Revollo, Patricia",Worldwide Indigenous Studies,,spa,Ministerio de Medio Ambiente y Agua de Bolivia,Bolivia,2010,1,Environmental Studies -- Bolivia,,
is004,/objects/is004.jpg,/objects/small/is004_sm.jpg,/objects/thumbs/is004_th.jpg,item,Mapping the Americas: The Transnational Politics of Contemporary Native Culture,"Huhndorf, Shari M",Worldwide Indigenous Studies,978-0-8014-4800-3,eng,Cornell University Press,United States,2009,1,Other Indigenous Studies: Pan-American Indigenous studies,https://bobcat.library.nyu.edu/permalink/f/ci13eu/nyu_aleph005359472,https://worldcat.org/en/title/726824254
is005,/objects/is005.jpg,/objects/small/is005_sm.jpg,/objects/thumbs/is005_th.jpg,item,The Indigenous World 2013,"Mikkelsen, Cæcilie",Worldwide Indigenous Studies,978-87-92786-33-3,eng,International Work Group for Indigenous Affairs,Denmark,2013,1,Worldwide Indigenous Studies,,https://www.worldcat.org/title/862828223
is006,/objects/is006.jpg,/objects/small/is006_sm.jpg,/objects/thumbs/is006_th.jpg,item,The Indigenous World 2012,"Mikkelsen, Cæcilie",Worldwide Indigenous Studies,978-87-92786-15-9,eng,International Work Group for Indigenous Affairs,Denmark,2012,1,Worldwide Indigenous Studies,,https://worldcat.org/en/title/830375770
is007,/objects/is007.png,/objects/small/is007_sm.png,/objects/thumbs/is007_th.png,item,Indigenismo hacia el fin del milenio. Homenaje a Antonio Cornejo-Polar,"Moraña, Mabel, ed. ",Worldwide Indigenous Studies,,spa,Biblioteca de América,United States,1998,1,History -- Pan latin America,,https://worldcat.org/en/title/39925966
is008,/objects/is008.jpg,/objects/small/is008_sm.jpg,/objects/thumbs/is008_th.jpg,item,Indian Giving: Economies of Power in Indian-White Exchanges,"Murray, David",Worldwide Indigenous Studies,1-55849-243-7,eng,University of Massachusetts Press,United States,2000,1,History -- United States / Canada,https://bobcat.library.nyu.edu/permalink/f/ci13eu/nyu_aleph001656417,https://worldcat.org/en/title/42953164
is009,/objects/is009.jpg,/objects/small/is009_sm.jpg,/objects/thumbs/is009_th.jpg,item,All Can Be Saved: Religious Tolerance and Salvation in the Iberian Atlantic World,"Schwartz, Stuart B.",Worldwide Indigenous Studies,9780300125801,eng,Yale University Press,United States,2008,1,History -- Pan Latin America,https://bobcat.library.nyu.edu/permalink/f/ci13eu/nyu_aleph003497108,https://worldcat.org/en/title/587527273
lang001,/objects/lang001.jpg,/objects/small/lang001_sm.jpg,/objects/thumbs/lang001_th.jpg,item,Quechua: Conocimientos Básicos de Nuestro Idioma Andino,"Anyarín Injante, Toribio ",Quechua Learning Materials,RUC 20101576176,"que,spa",Editorial Toribio Anyarin Injante,Peru,,,"Phrase book,Southern Quechua (Peru)",,
lang002,/objects/lang002.png,/objects/small/lang002_sm.png,/objects/thumbs/lang002_th.png,item,Manual Para el Aprendizaje Del Idioma Quechua,"Choque, Daniel Tunque; Cusi, Zenón Figueroa",Quechua Learning Materials,2009-00035,"que,spa",Academia Mayor de la Lengua Quechua,Peru,2009,Enero 2009,"Linguistics,Language Learning,Phonetics,Dictionary,Southern Quechua (Peru)",,
lang003,/objects/lang003.png,/objects/small/lang003_sm.png,/objects/thumbs/lang003_th.png,item,Inkakunaq Rimayninta Yachasun: Aprendamos el Idioma de los Incas,"Davila Pezua, Domingo ",Quechua Learning Materials,,"que,spa",Academia Mayor de la Lengua Quechua,Peru,2006,2,"Language Learning; Grammar; Trilingual,Southern Quechua (Peru)",,
lang004,/objects/lang004.png,/objects/small/lang004_sm.png,/objects/thumbs/lang004_th.png,item,Eurotalk: Quechua Beginners+,Eurotalk,Quechua Learning Materials,,"que,eng",Eurotalk,UK,2002,X,"Software for Language Learning,Southern Quechua (Peru)",,
lang005,/objects/lang005.png,/objects/small/lang005_sm.png,/objects/thumbs/lang005_th.png,item,ÑUKANCHIK LLAKTAPA SHIMI,"Gallegos, Teodoro ",Quechua Learning Materials,1792226279001,"que,eng",Pontifica Universiad Católica del Ecuador,Ecuador,2000,1,"Workbook; Language Learning,Northern Kichwa (Ecuador)",,
lang006,/objects/lang006.png,/objects/small/lang006_sm.png,/objects/thumbs/lang006_th.png,item,Qhesqa Simi: Lengua Quechua,"Paredes Cusi, Benita
",Quechua Learning Materials,2009-07478,"que,spa",Edit. Pantigozo,Peru,2009,edicion de mil ejemplares,"Language Learning,Southern Quechua (Peru)",,
lang007,/objects/lang007.png,/objects/small/lang007_sm.png,/objects/thumbs/lang007_th.png,item,"Runa Siminchik, Tomo 2","Rocha, Wilma; Flores, Viviana; Montoya, Abraham
",Quechua Learning Materials,978-99954-726-2-7,"que,spa",Instituto de Idiomas Maryknoll,Bolivia,2010,1,"Workbook; Language Learning,Southern Quechua (Bolivia)",,
lang008,/objects/lang008.png,/objects/small/lang008_sm.png,/objects/thumbs/lang008_th.png,item,"Runa Siminchik, Tomo 1","Rocha, Wilma; Flores, Viviana; Montoya, Abraham
",Quechua Learning Materials,978-99954-726-3-4,"que,spa",Instituto de Idiomas Maryknoll,Bolivia,2010,1,"Workbook; Language Learning,Southern Quechua (Bolivia)",,
lang009,/objects/lang009.jpg,/objects/small/lang009_sm.jpg,/objects/thumbs/lang009_th.jpg,item,Diospa Simin Qelqa,Sociedad Bíblica Peruana,Quechua Learning Materials,QCR052P,que,Sociedad Bíblica Peruana,Peru,2004,Revisada 2004,"Bible,Southern Quechua (Peru)",,
lang010,/objects/lang010.png,/objects/small/lang010_sm.png,/objects/thumbs/lang010_th.png,item,Napo Runa Shimi: Introduction to the Kichwa Language of the Napo Headwaters,"Swanson, Tod; Josefina Andi",Quechua Learning Materials,,"que,eng",Andes and Amazon Field School,Ecuador,2013,1,"Workbook; Language Learning,Northern Kichwa (Ecuador)",,
lang011,/objects/lang011.png,/objects/small/lang011_sm.png,/objects/thumbs/lang011_th.png,item,Gramática Quechua,"Villarroel, Alfredo Quiroz",Quechua Learning Materials,2-1-991-08,"que,spa",Editora H&P,Bolivia,2014,4,"Grammar Book,Southern Quechua (Bolivia)",,
mag001,/objects/mag001.png,/objects/small/mag001_sm.png,/objects/thumbs/mag001_th.png,item,Ocho muy buenas razones para generalizar el quechua en Apurímac,,Magazines,,spa,Defenoría del Pueblo Apurímac,Peru,,,,,
